,0,1,2,3,4,5,6,7,8
99,SELENOS,PDE4B,MACROD2,FXYD7,MAP4K5,STRBP,PUSL1,HAUS6,SPTY2D1OS
100,CD3D,UBL3,MAIP1,NA,HDGF,NA,GLRX3,RAPGEF1,NA
101,CYTIP,SETD5,TSEN2,LACTB,ODF2,PTPN6,NUP155,GABARAP,RAD51D
102,FLOT1,AREL1,PPP2R2D,NA,AL138720.1,NA,CCDC86,HIST1H3J,NA
103,CAST,PDPK1,DLEU2,NA,PIGX,AP005019.1,G3BP1,RABL6,OGG1
104,HOPX,SMG5,TRMT61B,NA,SRF,NA,PRPSAP2,OSBPL3,NA
105,ANXA5,ADAM17,SLC25A5,NA,AEBP1,NA,PIP5K1C,HIST1H2AH,NA
106,PRKX,ZNF43,SNX5,NA,NHS,NA,MRPL21,CYP4F22,NA
107,IFI6,L3MBTL2,NFIA,BISPR,KIAA1586,RPP30,SFSWAP,FHOD1,TYW3
108,LCP2,TSSC4,RLF,RIPOR2,CREG1,ABCE1,DAD1,FOXN2,CHCHD4
109,AFDN,MED13L,PSMB7,NA,SMARCB1,NA,XPO1,E2F1,NA
110,GIMAP5,POLR2A,CDV3,NA,MAP3K13,NA,NA,SMIM33,NA
111,GUK1,GLE1,GARS,NA,MORF4L2-AS1,NA,RNH1,AC009961.1,NA
112,MYADM,ZNF354A,CWC25,NA,PMPCB,NA,INSIG1,CPSF2,NA
113,SLFN5,C22orf34,NBL1,NA,RCL1,NA,HDHD5,RGL4,NA
114,SELENOK,PIK3IP1,NT5DC2,NA,LINC01684,AP000787.1,CNIH1,AC239868.1,C2CD4B
115,SAMD9L,FYTTD1,EXOSC2,NA,RBX1,NA,FAM120A,CPSF3,NA
116,TYMP,NHEJ1,SLC27A5,NA,FBRSL1,TMEM156,POMP,P2RY14,OSBPL3
117,ITGB1,ASTE1,THUMPD3,RPS15A,ZNF573,POLR1C,SERPINB9,SUMF1,CSTF3-DT
118,FLT3LG,TMBIM6,GRK3,NA,PSMD13,NA,NA,NPEPL1,NA
119,ACTG1,SMYD2,CCDC58,NA,RPS2,NA,PUF60,AP2A1,NA
120,LY6E,LMF1,ENO1-AS1,NA,LINC00641,LINC01806,TOX,BMPR1A,TBL3
121,APOL3,PRPF39,SPRY1,NA,AC087500.1,NA,TUBE1,NUP37,NA
122,TNFSF12,GFER,MT-ND2,NA,PGBD1,NA,GTF2E2,PAQR4,NA
123,CSTB,TICAM1,SDAD1,NA,SMIM7,NA,NA,CDC20,NA
124,CD52,KLF3,MALSU1,NA,CS,NA,NDUFB9,ACTB,RPS19BP1
125,PLSCR1,AC018521.5,KIF3B,NA,KNSTRN,NA,NR1H2,TRIM24,STXBP6
126,AHNAK,ZBP1,PPIF,NA,MRPL49,SPINK2,GEMIN7,DENND10,BCL7C
127,PGK1,LRP8,SIAH2-AS1,NA,ZNF232,NA,LCP1,RNF166,NA
128,IL7R,TCHP,CCSAP,NA,TMEM69,NA,DDX54,GFPT1,CCL4L2
129,ARL6IP5,BABAM1,SLC5A6,NA,AMD1,NA,NA,SASS6,NA
130,TRAT1,TSEN34,MXI1,NA,SNX5,NA,UBALD2,DYNC1H1,NA
131,CAP1,TMED1,CHCHD4,NA,AGMAT,NA,RRP9,ZNF326,NA
132,DHRS7,SWT1,TRUB2,NA,CEP97,NA,ZNF888,CDKN2A,EXOC2
133,SEC61G,TRAPPC9,IPO5,NA,KIF20B,NA,ALYREF,PARPBP,NA
134,RNASEK,AIFM1,BIK,NA,YEATS4,NA,GEMIN4,CD151,NA
135,CAPN2,TMPO,CCDC124,PPM1K,TRMT12,ZNF32,G6PD,IMPA2,SEPTIN8
136,CD53,PRR14L,STK4,NA,MDP1,SARDH,YWHAG,AP1S1,COX17
137,RNF213,NGRN,MTFP1,NA,SRRT,NA,MSC,HECTD4,MAP3K8
138,FURIN,TMEM154,TMEM217,NA,MRPL57,NA,SLC25A33,STRIP2,NA
139,RABAC1,FNBP4,THG1L,NA,SLC25A37,NA,AKAP1,SATB1-AS1,NA
140,ACAA2,KAT8,TRIP13,NA,RPL9,NA,NA,NAGK,NA
141,TLN1,EID3,MRPS16,NA,C16orf91,NA,XRCC6,EME2,NA
142,STK17B,BAG5,ERVK3-1,NA,USP39,NA,GNPDA1,ANG,NA
143,CASP4,AL009179.1,PSMA2,NA,TIPIN,NA,NA,IGHMBP2,NA
144,ALOX5,STYX,OSBP,NA,EIF4H,NA,KDM1A,MBOAT7,NA
145,SAMHD1,TFCP2,MFSD3,NA,TPRA1,PRDX6,PGAM5,RIBC2,PRKD3
146,LCP1,STXBP2,HSD17B10,KMT2E-AS1,AC008771.1,SET,FYCO1,CERS5,TAGAP
147,OST4,LINC01727,CHKA,NA,PSMA4,TKT,NOC3L,RRAGD,PRIM1
148,COX8A,DNASE1L1,TPRA1,NA,MTPAP,LTA4H,HNRNPR,HDGF,SPR
149,ANK3,MAP2K1,GATC,NA,DRG2,NA,YIF1A,RPH3AL,NA
150,SLAMF1,TAF11,UTP23,NA,GLIDR,NA,PPM1G,AC016949.1,MRPL21
151,GIMAP4,UBE2D2,AC021752.1,NA,HSPA1B,CEP57,AARSD1,NIPSNAP3A,ARHGEF12
152,IL10RA,COPG2,MRPL38,NA,MORN2,NA,EEF2K,CHMP5,NA
153,TANK,NFS1,CEP97,NA,PHF14,NA,EIF4E2,SIT1,DBI
154,CCR5,RAB43,ARL5A,NA,WDR61,NA,NA,SLAMF1,NA
155,CD96,DDX52,WDR75,NA,TTYH3,NA,JAKMIP1,LINC01829,DCTD
156,ACTR3,ABCD4,NUP155,NA,IPO7,NA,PPA2,AGPS,NA
157,CD99,REPIN1,EIF5B,NA,MBIP,NA,EIF3D,LIME1,NA
158,TRADD,R3HCC1L,NLRP6,NA,RPL12,NA,NOB1,GOLGA3,ETV5
159,IFI35,AL691403.1,PAXBP1,NA,NUDT5,NA,ALG3,RASSF2,NA
160,DSTN,TTC21B,CTPS1,NA,DDX39A,NA,RRP36,MAPK1,NA
161,SSR4,ZNF407,ASXL1,NA,MTX2,NA,HNRNPK,SH3BGR,NA
162,GSDMD,RAB12,SRSF9,NA,AC087280.2,NA,SNHG12,CD86,NA
